,,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,FTeam,Salary,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
10,Jack Eichel,BUF,10,23,C,68,36,42,78,34,5,22:06,17:56,3:52,0:16,24,11,1,9,3,26,16,0,8,3,50,27,1,17,6,34.60%,1.437,1.677,3.114,1.18,1.279,2.459,2.502,3.639,6.141,0.529,0.618,1.147,227,15.90%,40,42,614,697,46.83%
11,Jonathan Huberdeau,FLA,5.9,26,LW,69,23,55,78,30,5,18:46,15:10,3:34,0:01,18,5,0,3,1,31,24,0,10,1,49,29,0,13,2,37.20%,1.065,2.548,3.613,1.031,1.776,2.808,1.217,5.843,7.061,0.333,0.797,1.13,152,15.10%,51,26,24,37,39.34%
12,Mika Zibanejad,NYR,5.35,26,C,57,41,34,75,14,9,21:37,15:20,3:40,2:37,23,15,3,6,2,20,12,2,5,0,43,27,5,11,2,36.00%,1.995,1.655,3.65,1.579,1.373,2.951,4.302,3.442,7.744,0.719,0.596,1.316,208,19.70%,51,49,592,612,49.17%
13,Evgeni Malkin,PIT,9.5,33,C,55,25,49,74,58,7,19:31,15:48,3:41,0:01,18,7,0,5,0,32,17,0,8,1,50,24,0,13,1,32.40%,1.397,2.738,4.135,1.243,2.209,3.452,2.068,5.022,7.09,0.455,0.891,1.345,171,14.60%,38,22,441,434,50.40%
14,Kyle Connor,WPG,7.142,23,LW,71,38,35,73,34,4,21:05,16:44,3:17,1:02,28,9,1,7,1,26,8,1,4,1,54,17,2,11,2,23.30%,1.523,1.403,2.925,1.413,1.312,2.725,2.306,2.05,4.356,0.535,0.493,1.028,239,15.90%,18,17,2,11,15.38%
15,Mark Scheifele,WPG,6.125,26,C,71,29,44,73,45,2,21:48,18:15,3:18,0:14,19,10,0,6,2,34,10,0,3,0,53,20,0,9,2,27.40%,1.124,1.705,2.829,0.88,1.574,2.454,2.555,2.555,5.111,0.408,0.62,1.028,170,17.10%,34,49,604,685,46.86%
16,J.T. Miller,VAN,5.25,26,C,69,27,45,72,47,11,20:06,15:37,3:52,0:36,18,9,0,3,1,27,16,2,10,1,45,25,2,13,2,34.70%,1.168,1.947,3.114,1.002,1.502,2.504,2.022,3.596,5.618,0.391,0.652,1.043,165,16.40%,123,38,425,293,59.19%
17,Alexander Ovechkin,WSH,9.538,34,LW,68,48,19,67,30,-12,20:39,15:45,4:53,0:01,35,13,0,3,1,14,5,0,4,1,49,18,0,7,2,26.90%,2.05,0.811,2.861,1.96,0.784,2.744,2.346,0.902,3.248,0.706,0.279,0.985,311,15.40%,184,30,1,0,100.00%
18,Mitchell Marner,TOR,10.893,22,RW,59,16,51,67,16,6,21:33,16:07,3:13,2:11,10,6,0,2,1,32,18,1,10,3,42,24,1,12,4,35.80%,0.755,2.406,3.161,0.63,2.017,2.647,1.894,5.681,7.575,0.271,0.864,1.136,154,10.40%,24,37,7,19,26.92%
19,Sebastian Aho,CAR,8.454,22,C,68,38,28,66,26,10,19:25,14:46,2:50,1:48,26,8,4,5,0,18,9,1,7,2,44,17,5,12,2,25.80%,1.726,1.272,2.998,1.553,1.075,2.628,2.478,2.788,5.266,0.559,0.412,0.971,206,18.50%,55,20,409,480,46.01%
20,Max Pacioretty,VGK,7,31,LW,71,32,34,66,44,18,17:54,15:25,2:27,0:01,24,8,0,5,1,23,11,0,6,1,47,19,0,11,2,28.80%,1.51,1.604,3.114,1.314,1.26,2.574,2.758,3.792,6.55,0.451,0.479,0.93,307,10.40%,90,35,51,45,53.13%
21,Steven Stamkos,TBL,8.5,29,C,57,29,37,66,22,14,18:25,14:37,3:17,0:30,19,10,0,6,0,28,9,0,7,1,47,19,0,13,1,28.80%,1.657,2.114,3.772,1.368,2.016,3.384,3.204,2.883,6.087,0.509,0.649,1.158,176,16.50%,69,38,365,307,54.32%
22,Elias Pettersson,VAN,3.775,21,C,68,27,39,66,18,16,18:31,14:37,3:52,0:01,19,8,0,5,1,23,16,0,4,1,42,24,0,9,2,36.40%,1.286,1.857,3.143,1.146,1.388,2.534,1.82,3.641,5.461,0.397,0.574,0.971,162,16.70%,63,42,58,82,41.43%
23,Blake Wheeler,WPG,8.25,33,RW,71,22,43,65,37,1,19:18,15:24,3:15,0:39,17,4,1,2,0,24,18,1,8,1,41,22,2,10,1,33.80%,0.963,1.882,2.844,0.933,1.317,2.25,1.037,4.667,5.704,0.31,0.606,0.915,180,12.20%,102,51,325,327,49.85%
24,Brayden Point,TBL,6.833,23,C,66,25,39,64,11,28,18:53,15:33,3:16,0:03,17,8,0,4,0,34,5,0,9,3,51,13,0,13,3,20.30%,1.203,1.877,3.081,0.994,1.988,2.981,2.219,1.387,3.606,0.379,0.591,0.97,141,17.70%,24,30,397,377,51.29%
25,Patrik Laine,WPG,6.75,21,RW,68,28,35,63,22,8,19:24,16:10,3:13,0:00,20,8,0,1,0,27,8,0,9,1,47,16,0,10,1,25.40%,1.273,1.591,2.864,1.09,1.472,2.563,2.188,2.188,4.376,0.412,0.515,0.926,226,12.40%,97,35,10,17,37.04%
26,Mark Stone,VGK,9.5,27,RW,65,21,42,63,27,15,19:24,14:58,2:30,1:55,15,6,0,3,0,30,11,1,5,3,45,17,1,8,3,27.00%,0.999,1.997,2.996,0.925,1.85,2.774,2.203,4.04,6.243,0.323,0.646,0.969,168,12.50%,56,51,16,30,34.78%
27,Teuvo Teräväinen,CAR,5.4,25,LW,68,15,48,63,8,20,19:11,14:24,3:00,1:46,10,4,1,1,0,28,17,3,10,0,38,21,4,11,0,33.30%,0.69,2.207,2.896,0.612,1.714,2.326,1.174,4.989,6.162,0.221,0.706,0.926,182,8.20%,18,30,26,27,49.06%
28,Anze Kopitar,LAK,10,32,C,70,21,41,62,16,6,21:02,16:21,2:52,1:47,13,7,1,5,1,27,14,0,7,3,40,21,1,12,4,33.90%,0.856,1.67,2.526,0.681,1.414,2.095,2.081,4.163,6.244,0.3,0.586,0.886,135,15.60%,49,56,776,631,55.15%
29,Aleksander Barkov,FLA,5.9,24,C,66,20,42,62,18,2,20:00,15:30,3:23,1:06,13,7,0,2,0,28,13,1,10,2,41,20,1,12,2,32.30%,0.908,1.908,2.816,0.762,1.641,2.403,1.877,3.486,5.363,0.303,0.636,0.939,172,11.60%,21,35,653,551,54.24%
30,Travis Konecny,PHI,5.5,22,RW,66,24,37,61,28,-1,16:48,13:54,2:52,0:01,19,5,0,3,0,19,18,0,6,2,38,23,0,9,2,37.70%,1.298,2.002,3.3,1.241,1.241,2.483,1.583,5.699,7.282,0.364,0.561,0.924,141,17.00%,63,30,24,25,48.98%
31,Andrei Svechnikov,CAR,3.575,19,RW,68,24,37,61,54,9,16:44,13:45,2:57,0:00,18,6,0,5,1,23,14,0,10,2,41,20,0,15,3,32.80%,1.265,1.95,3.216,1.154,1.474,2.628,1.79,4.177,5.968,0.353,0.544,0.897,183,13.10%,116,27,0,1,0.00%
32,Matthew Tkachuk,CGY,7,22,LW,69,23,38,61,74,-5,18:18,15:28,2:50,0:00,18,5,0,4,2,24,14,0,6,1,42,19,0,10,3,31.10%,1.092,1.805,2.897,1.012,1.349,2.361,1.534,4.294,5.828,0.333,0.551,0.884,188,12.20%,122,22,0,4,0.00%
33,Ryan Nugent-Hopkins,EDM,6,26,C,65,22,39,61,33,1,20:28,15:00,3:44,1:42,15,7,0,4,0,22,17,0,7,1,37,24,0,11,1,39.30%,0.992,1.759,2.751,0.922,1.353,2.275,1.725,4.189,5.914,0.338,0.6,0.938,172,12.80%,33,44,205,199,50.74%
34,Tomas Tatar,MTL,5.3,29,LW,68,22,39,61,36,5,16:17,14:04,2:11,0:01,14,8,0,1,0,33,6,0,4,1,47,14,0,5,1,23.00%,1.191,2.112,3.303,0.877,2.068,2.945,3.229,2.422,5.651,0.324,0.574,0.897,162,13.60%,79,24,9,16,36.00%
35,Ryan O'Reilly,STL,7.5,28,C,71,12,49,61,10,11,20:34,15:32,2:53,2:08,9,2,1,3,1,33,16,0,9,2,42,18,1,12,3,29.50%,0.493,2.013,2.506,0.49,1.795,2.284,0.584,4.674,5.258,0.169,0.69,0.859,118,10.20%,16,42,880,677,56.52%
36,John Tavares,TOR,11,29,C,63,26,34,60,24,-7,19:32,16:31,3:00,0:01,19,7,0,4,3,20,14,0,8,0,39,21,0,12,3,35.00%,1.267,1.656,2.923,1.095,1.153,2.248,2.214,4.429,6.643,0.413,0.54,0.952,197,13.20%,32,31,617,499,55.29%
37,David Perron,STL,4,31,LW,71,25,35,60,52,2,18:19,15:18,2:58,0:01,16,9,0,9,4,17,18,0,5,0,33,27,0,14,4,45.00%,1.153,1.615,2.768,0.884,0.939,1.822,2.55,5.1,7.651,0.352,0.493,0.845,166,15.10%,67,19,3,5,37.50%
38,Mathew Barzal,NYI,1.325,22,C,68,19,41,60,44,5,20:02,17:23,2:38,0:00,15,4,0,2,0,33,8,0,11,3,48,12,0,13,3,20.00%,0.837,1.806,2.642,0.761,1.674,2.435,1.339,2.679,4.018,0.279,0.603,0.882,171,11.10%,22,43,228,319,41.68%
39,Jonathan Toews,CHI,10.5,31,C,70,18,42,60,48,-2,19:46,14:32,3:18,1:55,16,1,1,3,3,35,7,0,6,1,51,8,1,9,4,13.30%,0.78,1.82,2.6,0.943,2.063,3.006,0.259,1.812,2.07,0.257,0.6,0.857,172,10.50%,56,35,856,638,57.30%
40,William Nylander,TOR,7.5,23,RW,68,31,28,59,12,-2,18:12,15:18,2:53,0:00,22,9,0,7,1,20,8,0,5,1,42,17,0,12,2,28.80%,1.502,1.357,2.859,1.268,1.153,2.42,2.753,2.448,5.201,0.456,0.412,0.868,197,15.70%,9,14,106,106,50.00%
41,Mike Hoffman,FLA,5.187,30,LW,69,29,30,59,28,-5,16:50,13:09,3:39,0:01,18,11,0,3,0,20,10,0,3,0,38,21,0,6,0,35.60%,1.498,1.549,3.047,1.19,1.322,2.512,2.615,2.377,4.992,0.42,0.435,0.855,214,13.60%,33,22,7,8,46.67%
42,Sean Couturier,PHI,4.333,27,C,69,22,37,59,30,21,19:49,15:02,2:45,2:02,18,4,0,4,1,28,9,0,8,2,46,13,0,12,3,22.00%,0.965,1.622,2.587,1.041,1.619,2.661,1.26,2.834,4.094,0.319,0.536,0.855,185,11.90%,60,26,542,367,59.63%
43,Ryan Strome,NYR,4.5,26,C,70,18,41,59,48,21,19:35,14:23,2:57,2:14,15,3,0,3,0,26,14,1,9,2,41,17,1,12,2,28.80%,0.788,1.794,2.582,0.893,1.548,2.442,0.871,4.065,4.937,0.257,0.586,0.843,154,11.70%,45,32,496,548,47.51%
44,Brayden Schenn,STL,6.5,28,C,71,25,33,58,44,3,18:27,15:22,2:51,0:13,15,10,0,4,0,22,11,0,8,2,37,21,0,12,2,36.20%,1.145,1.511,2.655,0.824,1.209,2.033,2.961,3.257,6.218,0.352,0.465,0.817,138,18.10%,119,21,350,364,49.02%
45,Nikolaj Ehlers,WPG,6,23,LW,71,25,33,58,30,14,16:31,15:10,1:19,0:01,21,3,1,5,0,31,2,0,2,0,52,5,1,7,0,8.60%,1.278,1.687,2.965,1.17,1.727,2.897,1.906,1.271,3.177,0.352,0.465,0.817,203,12.30%,36,28,0,2,0.00%
46,Johnny Gaudreau,CGY,6.75,26,LW,70,18,40,58,12,-10,18:46,15:51,2:53,0:00,12,6,0,2,0,28,12,0,6,1,40,18,0,8,1,31.00%,0.822,1.827,2.649,0.649,1.513,2.162,1.775,3.55,5.325,0.257,0.571,0.829,209,8.60%,1,11,1,3,25.00%
47,Jaden Schwartz,STL,5.35,27,LW,71,22,35,57,18,3,18:10,15:09,2:48,0:12,13,9,0,4,1,24,11,0,6,0,37,20,0,10,1,35.10%,1.023,1.627,2.65,0.725,1.338,2.063,2.711,3.313,6.024,0.31,0.493,0.803,162,13.60%,60,28,9,11,45.00%
48,Patrice Bergeron,BOS,6.875,34,C,61,31,25,56,28,23,18:44,13:24,3:36,1:43,19,11,1,5,1,16,9,0,4,1,35,20,1,9,2,35.70%,1.627,1.312,2.938,1.393,1.173,2.567,2.992,2.448,5.44,0.508,0.41,0.918,203,15.30%,46,46,759,553,57.85%
49,Bryan Rust,PIT,3.5,27,RW,55,27,29,56,30,14,19:45,15:19,2:47,1:38,18,8,1,4,2,19,9,1,7,1,37,17,2,11,3,30.40%,1.49,1.601,3.091,1.281,1.352,2.633,3.118,3.508,6.626,0.491,0.527,1.018,151,17.90%,71,35,2,8,20.00%
50,Jakub Vorácek,PHI,8.25,30,RW,69,12,44,56,31,14,17:02,14:04,2:56,0:01,8,4,0,3,1,31,13,0,8,1,39,17,0,11,2,30.40%,0.612,2.245,2.857,0.494,1.916,2.411,1.181,3.837,5.017,0.174,0.638,0.812,132,9.10%,17,21,7,13,35.00%
51,Elias Lindholm,CGY,4.85,25,C,70,29,25,54,22,-8,19:43,14:48,2:49,2:05,21,8,0,7,1,14,11,0,4,1,35,19,0,11,2,35.20%,1.26,1.086,2.346,1.216,0.81,2.026,2.423,3.332,5.755,0.414,0.357,0.771,169,17.20%,93,41,395,406,49.31%
52,Reilly Smith,VGK,5,28,RW,71,27,27,54,20,17,17:54,14:05,1:53,1:55,22,3,2,6,0,23,2,2,2,0,45,5,4,8,0,9.30%,1.274,1.274,2.548,1.319,1.379,2.697,1.338,0.892,2.229,0.38,0.38,0.761,169,16.00%,55,30,3,9,25.00%
53,Brock Nelson,NYI,6,28,C,68,26,28,54,32,6,18:51,15:15,2:01,1:34,22,4,0,5,3,25,3,0,4,3,47,7,0,9,6,13.00%,1.216,1.31,2.526,1.273,1.446,2.719,1.738,1.304,3.042,0.382,0.412,0.794,175,14.90%,49,44,615,573,51.77%
54,Kevin Fiala,MIN,3,23,LW,64,23,31,54,42,-1,15:24,12:58,2:23,0:01,14,9,0,4,1,22,9,0,5,0,36,18,0,9,1,33.30%,1.4,1.887,3.287,1.011,1.589,2.6,3.527,3.527,7.055,0.359,0.484,0.844,175,13.10%,25,18,2,7,22.22%
55,Nicklas Bäckström,WSH,9.2,32,C,61,12,42,54,14,-1,19:01,15:02,3:45,0:13,10,2,0,0,0,26,16,0,5,1,36,18,0,5,1,33.30%,0.62,2.172,2.792,0.654,1.7,2.353,0.524,4.195,4.719,0.197,0.689,0.885,132,9.10%,30,45,516,532,49.24%
56,Bo Horvat,VAN,5.5,24,C,69,22,31,53,21,-15,19:43,15:36,3:42,0:24,10,12,0,2,0,27,4,0,6,2,37,16,0,8,2,30.20%,0.97,1.366,2.336,0.557,1.504,2.06,2.814,0.938,3.752,0.319,0.449,0.768,178,12.40%,55,66,850,633,57.32%
57,Claude Giroux,PHI,8.275,31,C,69,21,32,53,28,7,18:59,14:57,3:06,0:55,13,7,1,6,0,18,13,1,1,0,31,20,2,7,0,37.70%,0.962,1.466,2.428,0.756,1.047,1.803,1.961,3.641,5.602,0.304,0.464,0.768,197,10.70%,45,16,663,460,59.04%
58,Dylan Larkin,DET,6.1,23,C,71,19,34,53,39,-21,21:14,17:15,3:13,0:45,14,5,0,0,0,25,9,0,4,0,39,14,0,4,0,26.40%,0.756,1.352,2.108,0.685,1.224,1.909,1.309,2.356,3.665,0.268,0.479,0.746,223,8.50%,52,45,714,648,52.42%
59,Jakub Vrana,WSH,3.35,23,LW,69,25,27,52,18,3,14:52,12:55,1:56,0:01,24,1,0,6,1,16,11,0,2,1,40,12,0,8,2,23.10%,1.461,1.578,3.038,1.615,1.077,2.692,0.448,4.925,5.373,0.362,0.391,0.754,187,13.40%,29,16,6,5,54.55%
60,Evgeny Kuznetsov,WSH,7.8,27,C,63,19,33,52,40,-2,17:49,14:37,3:10,0:01,13,6,0,0,0,27,6,0,9,2,40,12,0,9,2,23.10%,1.015,1.763,2.779,0.846,1.757,2.604,1.801,1.801,3.602,0.302,0.524,0.825,129,14.70%,35,16,348,455,43.34%
61,Taylor Hall,BUF,8,28,LW,65,16,36,52,34,-14,19:10,15:30,3:27,0:12,12,4,0,1,0,22,14,0,7,1,34,18,0,8,1,34.60%,0.77,1.733,2.503,0.714,1.31,2.024,1.066,3.732,4.798,0.246,0.554,0.8,232,6.90%,47,29,20,31,39.22%
62,Sam Reinhart,BUF,5.2,24,C,69,22,28,50,20,-15,20:37,17:06,3:27,0:02,17,5,0,2,0,21,7,0,7,1,38,12,0,9,1,24.00%,0.927,1.18,2.108,0.864,1.067,1.931,1.255,1.757,3.013,0.319,0.406,0.725,144,15.30%,36,27,40,72,35.71%
63,Tyler Seguin,DAL,9.85,27,C,69,17,33,50,22,-2,19:08,15:52,2:33,0:42,14,3,0,6,3,21,12,0,5,2,35,15,0,11,5,30.00%,0.772,1.499,2.27,0.767,1.15,1.917,1.018,4.074,5.092,0.246,0.478,0.725,245,6.90%,90,31,538,387,58.16%
64,Alex Killorn,TBL,4.45,30,LW,68,26,23,49,20,19,17:55,13:09,2:35,2:12,18,8,0,7,0,18,5,0,1,0,36,13,0,8,0,26.50%,1.28,1.132,2.412,1.207,1.207,2.415,2.721,1.7,4.421,0.382,0.338,0.721,130,20.00%,59,15,5,14,26.32%
65,T.J. Oshie,WSH,5.75,33,RW,69,26,23,49,26,4,18:17,14:33,3:34,0:08,16,10,0,4,1,21,2,0,5,2,37,12,0,9,3,24.50%,1.236,1.093,2.329,0.955,1.254,2.209,2.428,0.486,2.913,0.377,0.333,0.71,133,19.60%,90,58,119,119,50.00%
66,Timo Meier,SJS,6,23,RW,70,22,27,49,42,-22,17:17,14:29,2:06,0:41,20,2,0,2,0,20,7,0,2,0,40,9,0,4,0,18.40%,1.09,1.338,2.429,1.183,1.183,2.366,0.813,2.846,3.66,0.314,0.386,0.7,199,11.10%,155,38,12,25,32.43%
67,Pierre-Luc Dubois,CBJ,3.425,21,C,70,18,31,49,49,-2,17:55,15:09,2:40,0:06,17,1,0,4,2,22,9,0,8,1,39,10,0,12,3,20.40%,0.86,1.482,2.342,0.961,1.244,2.205,0.321,2.887,3.208,0.257,0.443,0.7,158,11.40%,85,50,359,446,44.60%
68,Sean Monahan,CGY,6.735,25,C,70,22,26,48,25,-16,18:04,15:11,2:51,0:01,14,8,0,5,1,18,8,0,6,1,32,16,0,11,2,33.30%,1.043,1.233,2.276,0.79,1.016,1.806,2.394,2.394,4.788,0.314,0.371,0.686,166,13.30%,65,22,549,495,52.59%
69,Filip Forsberg,NSH,6,25,LW,63,21,27,48,29,-7,17:21,14:05,2:51,0:23,14,7,0,2,0,20,7,0,2,0,34,14,0,4,0,29.20%,1.153,1.482,2.635,0.946,1.351,2.297,2.328,2.328,4.656,0.333,0.429,0.762,198,10.60%,82,27,1,2,33.33%
70,Tyler Bertuzzi,DET,3.5,24,LW,71,21,27,48,40,-23,19:18,15:59,3:08,0:10,18,3,0,1,0,16,11,0,3,0,34,14,0,4,0,29.20%,0.919,1.181,2.1,0.951,0.846,1.797,0.807,2.957,3.764,0.296,0.38,0.676,129,16.30%,71,30,4,2,66.67%
71,Evander Kane,SJS,7,28,LW,64,26,21,47,122,-12,19:32,15:27,2:43,1:21,10,14,2,6,0,17,4,0,3,2,27,18,2,9,2,38.30%,1.248,1.008,2.255,0.606,1.031,1.637,4.826,1.379,6.205,0.406,0.328,0.734,216,12.00%,135,25,106,96,52.48%
72,Evgeny Dadonov,OTT,5,30,RW,69,25,22,47,10,-7,17:06,13:45,3:20,0:00,14,11,0,2,0,16,6,0,3,0,30,17,0,5,0,36.20%,1.271,1.118,2.389,0.885,1.012,1.897,2.863,1.561,4.424,0.362,0.319,0.681,167,15.00%,29,24,0,0,0.00%
73,Jonathan Marchessault,VGK,5,29,C,66,22,25,47,28,6,17:17,15:03,2:13,0:00,16,6,0,3,1,19,6,0,3,1,35,12,0,6,2,25.50%,1.157,1.315,2.472,0.966,1.147,2.113,2.46,2.46,4.92,0.333,0.379,0.712,235,9.40%,99,12,58,78,42.65%
74,Eric Staal,MIN,3.25,35,C,66,19,28,47,28,-9,17:08,14:09,2:42,0:16,14,5,0,5,1,19,9,0,3,0,33,14,0,8,1,29.80%,1.008,1.486,2.494,0.899,1.221,2.12,1.677,3.018,4.694,0.288,0.424,0.712,113,16.80%,24,22,495,504,49.55%
75,Sidney Crosby,PIT,8.7,32,C,41,16,31,47,15,-8,20:15,16:06,3:51,0:18,12,4,0,4,2,18,13,0,5,0,30,17,0,9,2,36.20%,1.155,2.238,3.394,1.09,1.635,2.726,1.52,4.94,6.46,0.39,0.756,1.146,109,14.70%,28,17,494,394,55.63%
76,Phillip Danault,MTL,3.083,26,C,71,13,34,47,32,18,18:50,14:45,1:33,2:30,12,1,0,1,0,31,3,0,3,0,43,4,0,4,0,8.50%,0.583,1.526,2.109,0.687,1.775,2.462,0.54,1.621,2.161,0.183,0.479,0.662,131,9.90%,119,37,728,607,54.53%
77,Dominik Kubalik,CHI,3.7,24,LW,68,30,16,46,16,2,14:22,12:24,1:56,0:01,26,4,0,3,0,12,4,0,1,0,38,8,0,4,0,17.40%,1.841,0.982,2.824,1.85,0.854,2.704,1.811,1.811,3.621,0.441,0.235,0.676,157,19.10%,79,17,6,13,31.58%
78,Zach Parise,MIN,7.538,35,LW,69,25,21,46,8,-11,17:11,13:31,2:45,0:54,12,12,1,4,0,15,6,0,4,1,27,18,1,8,1,39.10%,1.264,1.062,2.326,0.771,0.964,1.735,3.774,1.887,5.661,0.362,0.304,0.667,155,16.10%,27,38,41,36,53.25%
79,Pavel Buchnevich,NYR,3.25,24,RW,68,16,30,46,24,2,16:55,14:36,2:17,0:01,12,4,0,1,0,25,5,0,6,1,37,9,0,7,1,19.60%,0.834,1.564,2.397,0.725,1.509,2.234,1.535,1.919,3.454,0.235,0.441,0.676,148,10.80%,80,22,4,19,17.39%
80,William Karlsson,VGK,5.9,26,C,63,15,31,46,16,11,18:51,14:59,1:57,1:55,11,2,2,1,0,22,6,3,8,0,33,8,5,9,0,17.40%,0.757,1.565,2.322,0.699,1.398,2.097,0.973,2.92,3.893,0.238,0.492,0.73,138,10.90%,40,38,493,453,52.11%
81,Kyle Palmieri,NJD,4.65,28,RW,65,25,20,45,41,-4,17:06,13:43,3:10,0:12,14,11,0,3,1,13,7,0,4,1,27,18,0,7,2,40.00%,1.349,1.079,2.428,0.942,0.875,1.816,3.199,2.036,5.236,0.385,0.308,0.692,155,16.10%,74,36,12,25,32.43%
82,Chris Kreider,NYR,6.5,28,LW,63,24,21,45,58,13,17:14,13:45,3:28,0:01,15,9,0,5,0,17,4,0,2,0,32,13,0,7,0,28.90%,1.325,1.159,2.485,1.039,1.177,2.216,2.471,1.098,3.569,0.381,0.333,0.714,156,15.40%,116,42,53,70,43.09%
83,Tanner Pearson,VAN,3.75,27,LW,69,21,24,45,27,-4,16:30,13:51,1:35,1:03,16,3,2,3,0,16,7,1,4,0,32,10,3,7,0,22.20%,1.106,1.264,2.37,1.004,1.004,2.008,1.64,3.826,5.465,0.304,0.348,0.652,164,12.80%,96,40,4,14,22.22%
84,Andre Burakovsky,COL,4.9,24,LW,58,20,25,45,22,11,15:12,12:48,2:23,0:00,18,2,0,6,1,16,9,0,3,1,34,11,0,9,2,24.40%,1.361,1.701,3.062,1.453,1.292,2.745,0.868,3.906,4.774,0.345,0.431,0.776,103,19.40%,26,34,5,9,35.71%
85,Alex DeBrincat,CHI,6.4,22,LW,70,18,27,45,15,-10,17:29,14:00,3:28,0:00,8,10,0,4,1,21,6,0,3,0,29,16,0,7,1,35.60%,0.882,1.323,2.205,0.49,1.285,1.775,2.466,1.48,3.945,0.257,0.386,0.643,207,8.70%,58,19,7,13,35.00%
86,Brock Boeser,VAN,5.875,22,RW,57,16,29,45,14,4,18:34,14:25,4:07,0:01,11,5,0,3,0,20,9,0,8,3,31,14,0,11,3,31.10%,0.907,1.644,2.551,0.803,1.459,2.262,1.277,2.298,3.575,0.281,0.509,0.789,169,9.50%,28,14,11,19,36.67%
